Date,Open,High,Low,Close,Adj Close,Volume
2011-02-10,2510.000000,2510.000000,2510.000000,2510.000000,2342.019287,17500
2011-02-11,2510.000000,2510.000000,2500.000000,2510.000000,2342.019287,7500
2011-02-14,2510.000000,2510.000000,2510.000000,2510.000000,2342.019287,7500
2011-02-16,2520.000000,2550.000000,2420.000000,2520.000000,2351.349854,97500
2011-02-17,2540.000000,2540.000000,2540.000000,2540.000000,2370.011230,7500
2011-02-18,2580.000000,2580.000000,2580.000000,2580.000000,2407.334229,7500
2011-02-21,2550.000000,2570.000000,2540.000000,2550.000000,2379.342041,155000
2011-02-22,2550.000000,2550.000000,2550.000000,2550.000000,2379.342041,27500
2011-02-23,2550.000000,2550.000000,2550.000000,2550.000000,2379.342041,50000
2011-02-24,2450.000000,2550.000000,2430.000000,2450.000000,2286.034668,55000
2011-02-25,2390.000000,2450.000000,2390.000000,2390.000000,2230.050049,420000
2011-02-28,2360.000000,2400.000000,2350.000000,2360.000000,2202.057617,357500
2011-03-01,2390.000000,2400.000000,2390.000000,2390.000000,2230.050049,37500
2011-03-02,2290.000000,2300.000000,2260.000000,2290.000000,2136.742676,180000
2011-03-03,2240.000000,2290.000000,2240.000000,2240.000000,2090.088867,222500
2011-03-04,2270.000000,2270.000000,2260.000000,2270.000000,2118.081055,77500
2011-03-07,2250.000000,2280.000000,2250.000000,2250.000000,2099.419434,42500
2011-03-08,2280.000000,2340.000000,2280.000000,2280.000000,2127.411865,67500
2011-03-09,2290.000000,2290.000000,2240.000000,2290.000000,2136.742676,62500
2011-03-10,2270.000000,2270.000000,2270.000000,2270.000000,2118.081055,42500
2011-03-11,2240.000000,2250.000000,2240.000000,2240.000000,2090.088867,125000
2011-03-14,2250.000000,2250.000000,2240.000000,2250.000000,2099.419434,600000
2011-03-15,2200.000000,2200.000000,2200.000000,2200.000000,2052.765625,50000
2011-03-16,2200.000000,2200.000000,2200.000000,2200.000000,2052.765625,125000
2011-03-17,2200.000000,2200.000000,2200.000000,2200.000000,2052.765625,50000
2011-03-18,2200.000000,2200.000000,2200.000000,2200.000000,2052.765625,12500
2011-03-21,2160.000000,2160.000000,2160.000000,2160.000000,2015.442627,12500
2011-03-22,2160.000000,2180.000000,2150.000000,2150.000000,2006.111938,887500
2011-03-23,2160.000000,2160.000000,2160.000000,2160.000000,2015.442627,15
2011-03-24,2350.000000,2350.000000,2180.000000,2350.000000,2192.727051,15
2011-03-25,2330.000000,2350.000000,2300.000000,2330.000000,2174.065674,3162500
2011-03-28,2500.000000,2900.000000,2350.000000,2500.000000,2332.688477,3
2011-03-29,2550.000000,2650.000000,2500.000000,2550.000000,2379.342041,2603500
2011-03-30,2525.000000,2600.000000,2500.000000,2525.000000,2356.015381,1726000
2011-03-31,2500.000000,2550.000000,2450.000000,2500.000000,2332.688477,732500
2011-04-01,2450.000000,2475.000000,2400.000000,2450.000000,2286.034668,653500
2011-04-04,2500.000000,2525.000000,2475.000000,2500.000000,2332.688477,330000
2011-04-05,2450.000000,2550.000000,2450.000000,2450.000000,2286.034668,353000
2011-04-06,2425.000000,2475.000000,2425.000000,2425.000000,2262.707764,290000
2011-04-07,2425.000000,2450.000000,2400.000000,2425.000000,2262.707764,636500
2011-04-08,2425.000000,2450.000000,2400.000000,2425.000000,2262.707764,412500
2011-04-11,2450.000000,2500.000000,2400.000000,2450.000000,2286.034668,1309500
2011-04-12,2425.000000,2475.000000,2425.000000,2425.000000,2262.707764,198000
